source,target,value
Economics & Business,Economic Theory,25
Economics & Business,Accounting,51
Economics & Business,Agricultural Economics & Policy,52
Economics & Business,"Sport, Leisure & Tourism",112
Economics & Business,Marketing,126
Economics & Business,Finance,254
Economics & Business,Logistics & Transportation,303
Economics & Business,Business & Management,379
Economics & Business,Economics,591
Enabling & Strategic Technologies,Chemical Physics,11
Enabling & Strategic Technologies,Building & Construction,12
Enabling & Strategic Technologies,Acoustics,13
Enabling & Strategic Technologies,Polymers,13
Enabling & Strategic Technologies,Environmental Sciences,15
Enabling & Strategic Technologies,Chemical Engineering,17
Enabling & Strategic Technologies,Optics,17
Enabling & Strategic Technologies,Physical Chemistry,18
Enabling & Strategic Technologies,Applied Physics,58
Enabling & Strategic Technologies,Bioinformatics,77
Enabling & Strategic Technologies,"Strategic, Defence & Security Studies",163
Enabling & Strategic Technologies,Nanoscience & Nanotechnology,173
Enabling & Strategic Technologies,Biotechnology,233
Enabling & Strategic Technologies,Optoelectronics & Photonics,488
Enabling & Strategic Technologies,Materials,606
Enabling & Strategic Technologies,Energy,1351
Engineering,Bioinformatics,11
Engineering,Logistics & Transportation,11
Engineering,Fluids & Plasmas,12
Engineering,Artificial Intelligence & Image Processing,14
Engineering,Acoustics,16
Engineering,Environmental Sciences,24
Engineering,Materials,25
Engineering,Applied Mathematics,37
Engineering,"Strategic, Defence & Security Studies",52
Engineering,Energy,54
Engineering,Mining & Metallurgy,73
Engineering,Aerospace & Aeronautics,203
Engineering,Operations Research,210
Engineering,Environmental Engineering,321
Engineering,Biomedical Engineering,389
Engineering,Chemical Engineering,408
Engineering,Geological & Geomatics Engineering,418
Engineering,Mechanical Engineering & Transports,449
Engineering,Electrical & Electronic Engineering,486
Engineering,Civil Engineering,495
Engineering,Industrial Engineering & Automation,648
Historical Studies,"History of Science, Technology & Medicine",18
Historical Studies,Anthropology,46
Historical Studies,History,54
Historical Studies,Classics,85
Historical Studies,Archaeology,148
Information & Communication Technologies,"Strategic, Defence & Security Studies",12
Information & Communication Technologies,Acoustics,13
Information & Communication Technologies,Geological & Geomatics Engineering,18
Information & Communication Technologies,Business & Management,19
Information & Communication Technologies,Energy,21
Information & Communication Technologies,Operations Research,22
Information & Communication Technologies,Human Factors,25
Information & Communication Technologies,Bioinformatics,26
Information & Communication Technologies,Education,30
Information & Communication Technologies,Optoelectronics & Photonics,32
Information & Communication Technologies,Industrial Engineering & Automation,61
Information & Communication Technologies,Electrical & Electronic Engineering,65
Information & Communication Technologies,Biomedical Engineering,67
Information & Communication Technologies,Distributed Computing,157
Information & Communication Technologies,Software Engineering,190
Information & Communication Technologies,Medical Informatics,217
Information & Communication Technologies,Computation Theory & Mathematics,238
Information & Communication Technologies,Computer Hardware & Architecture,336
Information & Communication Technologies,Information Systems,342
Information & Communication Technologies,Networking & Telecommunications,2035
Information & Communication Technologies,Artificial Intelligence & Image Processing,2937
Mathematics & Statistics,Numerical & Computational Mathematics,126
Mathematics & Statistics,Applied Mathematics,211
Mathematics & Statistics,Statistics & Probability,250
Mathematics & Statistics,General Mathematics,393
Philosophy & Theology,Applied Ethics,20
Philosophy & Theology,Religions & Theology,21
Philosophy & Theology,Philosophy,55
Physics & Astronomy,Analytical Chemistry,11
Physics & Astronomy,Energy,12
Physics & Astronomy,Nuclear Medicine & Medical Imaging,17
Physics & Astronomy,Polymers,18
Physics & Astronomy,Materials,20
Physics & Astronomy,Networking & Telecommunications,20
Physics & Astronomy,Optoelectronics & Photonics,46
Physics & Astronomy,Mathematical Physics,57
Physics & Astronomy,Optics,191
Physics & Astronomy,Acoustics,214
Physics & Astronomy,General Physics,270
Physics & Astronomy,Fluids & Plasmas,327
Physics & Astronomy,Chemical Physics,366
Physics & Astronomy,Astronomy & Astrophysics,410
Physics & Astronomy,Nuclear & Particle Physics,1124
Physics & Astronomy,Applied Physics,1135
Psychology & Cognitive Sciences,Education,13
Psychology & Cognitive Sciences,Behavioral Science & Comparative Psychology,16
Psychology & Cognitive Sciences,Psychoanalysis,29
Psychology & Cognitive Sciences,Clinical Psychology,64
Psychology & Cognitive Sciences,Human Factors,73
Psychology & Cognitive Sciences,Social Psychology,99
Psychology & Cognitive Sciences,Developmental & Child Psychology,113
Psychology & Cognitive Sciences,Experimental Psychology,156
Public Health & Health Services,Gerontology,20
Public Health & Health Services,Epidemiology,35
Public Health & Health Services,Substance Abuse,41
Public Health & Health Services,Rehabilitation,70
Public Health & Health Services,Speech-Language Pathology & Audiology,85
Public Health & Health Services,Health Policy & Services,88
Public Health & Health Services,Public Health,174
Public Health & Health Services,Nursing,192
Social Sciences,Gender Studies,11
Social Sciences,Social Sciences Methods,15
Social Sciences,Social Work,19
Social Sciences,Demography,20
Social Sciences,Sociology,28
Social Sciences,Science Studies,35
Social Sciences,Criminology,46
Social Sciences,Geography,52
Social Sciences,Information & Library Sciences,59
Social Sciences,International Relations,63
Social Sciences,Law,94
Social Sciences,Political Science & Public Administration,149
Social Sciences,Education,724
Visual & Performing Arts,Music,16
